Time,unit_Time,Cella_1,unit_1,Cella_2,unit_2,Cella_3,unit_3,Cella_4,unit_4,SG600_main,unit_main,SG600_temp,unit_temp
17.55003,s,0.0,mV,-3.25,mV,0.0,mV,-0.08,mV,1,mV,1,mV
17.65204,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
17.75607,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
17.86505,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
17.97114,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
18.07401,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
18.18217,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
18.28606,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
18.3898,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
18.49837,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
18.60582,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
18.70765,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
18.80984,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
18.91721,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
19.02381,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
19.13693,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
19.24038,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
19.34752,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
19.45882,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
19.56956,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
19.67443,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
19.78004,s,0.0,mV,-3.24,mV,0.0,mV,-0.08,mV,1,mV,1,mV
19.88384,s,0.0,mV,-3.24,mV,0.0,mV,-0.08,mV,1,mV,1,mV
19.99434,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
20.09759,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
20.19999,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
20.30428,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
20.40828,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
20.50949,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
20.61016,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
20.72074,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
20.82999,s,0.0,mV,-3.25,mV,0.0,mV,-0.08,mV,1,mV,1,mV
20.93548,s,0.0,mV,-3.25,mV,0.0,mV,-0.08,mV,1,mV,1,mV
21.03639,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
21.13746,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
21.23958,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
21.34067,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
21.44158,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
21.54271,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
21.64371,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
21.74821,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
21.85332,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
21.95684,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
22.05789,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
22.15873,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
22.25952,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
22.36069,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
22.4633,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
22.56584,s,0.0,mV,-3.25,mV,0.0,mV,-0.07,mV,1,mV,1,mV
22.67715,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
22.77845,s,0.0,mV,-3.24,mV,0.0,mV,-0.07,mV,1,mV,1,mV
